"TietoLahde,C,254","Nimi,C,254","KoordYkPoh,N,9,1","KoordYkIta,N,9,1",,
"Espoo","Serena Ski laskettelukeskus",6692742,3375224,"60.326651601","24.738216482"
"Riihimäki","Räiskylän ampumahiihtoalue",6739687,3379919,"60.749087130","24.794658232"
"Espoo","Leppävaaran hiihtokeskus",6681354,3378191,"60.225419416","24.798755062"
"Vantaa","Keimolan hiihtokeskus",6692821,3379476,"60.328646744","24.815073066"
"Siikajoki","Uimapaikka",7200905,3396848,"64.889238269","24.818480626"
"Hyvinkää","Sveitsin hiihtokeskus",6728958,3380899,"60.653162180","24.819145241"
"Hyvinkää","Hiihtomaa",6727217,3381518,"60.637732190","24.831504016"
"Helsinki","Malminkartanon laskettelurinne",6684169,3380899,"60.251468506","24.845925749"
"Haukipudas","Alkeistekniikkarinne",7227523,3418442,"65.133851705","25.258633484"
"Haukipudas","Virpiniemen urheilu- ja ulkoliikuntakesk",7227590,3418447,"65.134453593","25.258700600"
"Haukipudas","Virpiniemen ampumahiihtoalue",7227563,3418712,"65.134276965","25.264359490"
"Saarijärvi","Paavon rinteet",6955153,3413031,"62.690339909","25.298201833"
"Saarijärvi","Kusiaismäen hiihtokeskus",6955177,3413111,"62.690574080","25.299751005"
"Jämsä","Hiihtokeskus himosvuori",6864461,3410884,"61.876450936","25.302744035"
"Uurainen","Uimapaikka kyynämöinen",6931739,3412939,"62.480335902","25.308391173"
"Oulunsalo","Kisakankaan hiihtokeskus",7206224,3420787,"64.943470972","25.320628251"
"Oulunsalo","Varjakka",7211228,3421429,"64.988486568","25.331409329"
"Helsinki","Iltatähdenpuisto/lasten kahluuallas",6687224,3389873,"60.281401638","25.006214117"
"Helsinki","Hylkeen venesatama",6675934,3389698,"60.180083944","25.009207496"
"Helsinki","Kotinummenpuisto/lasten kahluuallas",6684552,3390279,"60.257543994","25.015000955"
"Helsinki","Pyysaaren venesatama",6675902,3390540,"60.180023842","25.024387848"
"Helsinki","Leikkipuisto Tapuli/lasten kahluuallas 1",6686280,3391020,"60.273243515","25.027443739"
"Helsinki","Leikkipuisto Tapuli/lasten kahluuallas 2",6686287,3391020,"60.273306305","25.027439957"
"Tuusula","Urheilukeskuksen kilpahiihtoalue",6699424,3391849,"60.391366073","25.035338706"
"Helsinki","Herttoniemen aluepuisto/kahluuallas",6679256,3391696,"60.210418533","25.043414741"
"Helsinki","Roihuvuoren lask.rinne/lask.rinne k 20",6678209,3392111,"60.201136951","25.051452593"
"Helsinki","Roihuvuoren aluep./lasten kahluuallas",6678023,3392106,"60.199467171","25.051461474"
"Helsinki","Hevossalmen venesatama",6673484,3392288,"60.158799423","25.057148795"
"Helsinki","Strömsinlahden venesatama",6677752,3392867,"60.197237115","25.065317444"
"Helsinki","Kurkimäenpuisto/lasten kahluuallas",6681588,3393279,"60.231755193","25.070719948"
"Helsinki","Kiikunpuisto/lasten kahluuallas",6682037,3393525,"60.235847312","25.074920792"
"Helsinki","Jakomäen leikkipuisto/lasten kahluuallas",6684762,3393847,"60.260375498","25.079298119"
"Helsinki","Suopuisto/lasten kahluuallas",6682639,3393913,"60.241348828","25.081604344"
"Helsinki","Mustapuron leikkipuisto/kahluuallas",6680014,3393849,"60.217785090","25.081826667"
"Helsinki","Ystävyyden puisto/lasten kahluuallas",6678748,3393929,"60.206449530","25.083931856"
"Jämsänkoski","Survosenkoski",6890496,3400205,"62.107279611","25.085269983"
"Kinnula","Karvasaaren laavu",7025170,3405596,"63.316339262","25.112961846"
"Vantaa","Vantaan ulkoilukeskus Kuusijärvi uinti",6690628,3395903,"60.313527897","25.113385771"
"Muurame","Laskettelukeskus Riihivuori",6889869,3431697,"62.108688374","25.688476396"
"Oulu","Sankivaaran ampumahiihtoalue",7210067,3438521,"64.981683156","25.693971070"
"Varkaus","Vatuski-hiihtokeskus",6914526,3544113,"62.333565538","27.847916308"
"Joroinen","Kanavan kangas",6898311,3545738,"62.187897298","27.875041626"
"Kangaslampi","Huhtaus veneidenlaskupaikka",6905189,3553065,"62.248642601","28.017793782"
"Nilsiä","Tahkovuoren laskettelukeskus",7021479,3551613,"63.292031643","28.025451773"
"Vehmersalmi","Kirkonkylän hiihtomaa",6962468,3553061,"62.762484377","28.035375691"
"Vantaa","Hakunilan hiihtokeskus",6686750,3396134,"60.278799875","25.119562992"
"Helsinki","Mellunmäen leikkip./lasten kahluuallas",6681871,3396145,"60.235035711","25.122270785"
"Simo","Malinin hiihtokeskus/toimitalo",7290274,3414116,"65.695255688","25.126783640"
"Kerava","Keinukallion laskettelukeskus",6698484,3397325,"60.384362252","25.135079073"
"Helsinki","Lohikäärmepuisto/lasten kahluuallas",6679258,3397023,"60.211818825","25.139438955"
"Valkeakoski","Roukon hiihtomaa",6801208,3340716,"61.286725668","24.025465637"
"Lohja","Haikarin avantouintipaikka",6685069,3335724,"60.243802145","24.030419446"
"Tampere","Pulesjärvi",6836356,3342702,"61.602521201","24.032644655"
"Ähtäri","Mustikkavuoren hiihtokeskus",6941502,3348124,"62.546941923","24.044397040"
"Ähtäri","Mustikkavuoren sauna",6942264,3348317,"62.553848889","24.047465790"
"Valkeakoski","Korkeakankaan hiihtomaa",6797416,3343403,"61.253829267","24.078674005"
"Vihti","Vihdin pirtin ulkoilu- ja leirikeskus",6710758,3358864,"60.482819790","24.429676515"
"Keminmaa","Kylmäuintipaikka/avantouinti",7302807,3388150,"65.799570572","24.551506205"
"Kyyjärvi","Harsunkankaan hiihtokeskus",6994894,3376705,"63.036178186","24.560019075"
"Multia","Avantouintipaikka",6924342,3386884,"62.406981346","24.808384028"
"Kivijärvi","Koirajärven urheilukalastusalue",7016675,3390768,"63.235962273","24.823094587"
"Helsinki","Lauttasaari/kalliokiipeilyseinä",6673514,3382390,"60.156335908","24.879012652"
"Helsinki","Haaga/kalliokiipeilyseinä",6681130,3382848,"60.224777449","24.882857482"
"Helsinki","Korppaanpuisto/lasten kahluuallas",6678855,3383061,"60.204433696","24.888011266"
"Helsinki","Tilkanniitty/lasten kahluuallas",6678759,3383179,"60.203606505","24.890192962"
"Helsinki","Meilahti/kalliokiipeilyseinä",6676984,3383349,"60.187734727","24.894276932"
"Helsinki","Paloheinä/hiihtomaa",6684317,3384422,"60.253812778","24.909417788"
"Helsinki","Tullinpuomin puisto/lasten kahluuallas",6677618,3384238,"60.193674772","24.909927302"
"Helsinki","Katajanokka/talviuintipaikka",6674795,3387148,"60.169169585","24.963920188"
"Helsinki","Särkän venesatama",6672743,3387166,"60.150768646","24.965382780"
"Helsinki","Pihlajamäki/kalliokiipeilyseinä",6681456,3389983,"60.229693110","25.011342769"
"Äänekoski","Äänemäki",6945419,3435926,"62.607736887","25.748866306"
"Rovaniemi","Ounasvaaran hiihtokeskus",7380050,3446216,"66.507160358","25.787467269"
"Tyrnävä","Uimapaikka Polvenkangas ampumarata",7187996,3443147,"64.784588810","25.800802228"
"Myrskylä","Kiparkatin kilpahiihtokeskus",6725318,3434885,"60.632943022","25.807127554"
"Pyhäjärvi","Honkavuoren liikunta- ja monipalv.keskus",7060838,3441825,"63.643986478","25.822499462"
"Viitasaari","Savivuoren laskettelukeskus",6999238,3441344,"63.091397064","25.835387238"
"Viitasaari","Uimala",6998112,3441459,"63.081315870","25.838066534"
"Jyväskylän mlk","Jyskän hiihtomaa",6903943,3439944,"62.236351940","25.841574855"
"Viitasaari","Savivuoren kilpahiihtokeskus",6998621,3441660,"63.085914016","25.841861780"
"Hankasalmi","Kynsiveden Akkasillan vesillelaskupaikka",6935841,3459953,"62.525208426","26.218968188"
"Konnevesi","Uimapaikka Välimäki",6956346,3460630,"62.709238578","26.227342524"
"Loviisa","Urheilupaviljongin hiihtokeskus",6706242,3457874,"60.464840358","26.231197823"
"Loviisa","Harudd",6704265,3458867,"60.447201190","26.249655410"
"Kestilä","Ampumahiihtoalue/Maksinharjun ulkoliik.k",7139484,3464155,"64.352398429","26.254514467"
"Konnevesi","Hiihtokeskus Lapunmäki",6947372,3463200,"62.628997086","26.279517399"
"Joutsa","Vehmasrinteet",6845734,3462846,"61.717063305","26.294210611"
"Vesanto","Ampumahiihtoalue",6981759,3468597,"62.937998268","26.378211440"
"Konnevesi","Uimapaikka Sirkkamäki",6936691,3469024,"62.533708281","26.394958454"
"Elimäki","Haukkavuoren laskettelukeskus",6734686,3467658,"60.721014076","26.404341626"
"Konnevesi","Uimapaikka Neituri",6961924,3470782,"62.760233855","26.424730716"
"Hankasalmi","Armisveden Pynnönniemen vesillelaskupaikka",6926862,3475526,"62.446012373","26.522668541"
"Kuusankoski","Vuohivuoren laskettelukeskus",6759013,3478082,"60.940044873","26.592546632"
"Hankasalmi","Häkärinteet",6916520,3480160,"62.353500063","26.613617490"
"Sodankylä","Kirkonkylän maastohiihtokeskus",7481434,3483717,"67.420499584","26.616110263"
"Kangasniemi","Kirkonkylän ampumahiihtoalue",6875080,3480461,"61.981694546","26.624077487"
"Sodankylä","Kommatin kilpahiihtokeskus",7483295,3487489,"67.437370961","26.703898811"
"Sodankylä","Laskettelukeskus Kommatti",7482693,3488508,"67.432015098","26.727748899"
"Kouvola","Mielakan hiihtokeskus",6750345,3485868,"60.862613978","26.736815476"
"Pielavesi","Kirkonkylän kilpahiihtokeskus",7014254,3488829,"63.230719910","26.774377691"
"Valkeala","Valkealan kilpahiihtokeskus",6758959,3489676,"60.940038395","26.806421732"
"Mäntyharju","Mynttilän ampumahiihtorata",6821453,3492157,"61.500914208","26.849527593"
"Mäntyharju","Urheilualueen kilpahiihtokeskus",6811589,3493255,"61.412419409","26.870514565"
"Sodankylä","Luoston laskettelukeskus",7451752,3496114,"67.154783567","26.906360496"
"Sodankylä","Luoston maastohiihtokeskus",7451723,3496182,"67.154524442","26.907930381"
"Valkeala","Tyrrin ampumahiihtoalue",6753242,3496017,"60.888849611","26.923517229"
"Inari","Inarin kilpahiihtokeskus",7646429,3500222,"68.900226299","27.001251321"
"Hamina","Uuperinmäen laskettelukeskus",6723907,3503684,"60.625586250","27.064198489"
"Anjalankoski","Visamäen ampumahiihtolatu",6736301,3504552,"60.736810287","27.080329743"
"Hamina","Ruissalon hiihtokeskus",6718783,3508390,"60.579530920","27.149950236"
"Hamina","Ampumahiihtoalue",6719481,3508902,"60.585784579","27.159320397"
"Anjalankoski","Haapalan ampumahiihtolatu",6742472,3508895,"60.792121352","27.160212814"
"Kannonkoski","Isonhiekan laavu",6997350,3412248,"63.068564613","25.260650596"
"Rovaniemen mlk","Muurolan kilpahiihtokeskus",7365383,3427292,"66.371816951","25.370971514"
"Pornainen","Kotojärven avantouintipaikka",6705557,3412005,"60.451280778","25.398027262"
"Korpilahti","Oravivuoren kolmiomittaustorni",6869672,3423620,"61.925967816","25.542520767"
"Korpilahti","Pieni kalliosaari",6872483,3425602,"61.951577372","25.579071478"
"Korpilahti","Kiviönniemen retkisatama",6874575,3426283,"61.970476416","25.591178086"
"Korpilahti","Neihtyensaaret",6877758,3432668,"62.000220266","25.711678386"
"Orimattila","Hiihtokeskus",6742190,3433301,"60.784067811","25.772430945"
"Viitasaari","Lummeniemen leirikeskus",6999179,3441158,"63.090837551","25.831727149"
"Konnevesi","Pyhälahden satama",6967435,3454215,"62.807970235","26.098975335"
"Muhos","Oisavanjoki",7196419,3459858,"64.862553541","26.149785501"
"Konnevesi","Uimapaikka Särkisalo",6965383,3458369,"62.790059781","26.180920649"
"Joutsa","Viherinkoski ja museosilta",6846972,3457208,"61.727580504","26.187317527"
"Muhos","Poikajoki",7184501,3462176,"64.755937285","26.201833688"
"Konnevesi","Rantautumispaikka Hannulan koski",6936707,3460216,"62.533006157","26.223872824"
"Hankasalmi","Liesveden Pesiäissalmen vesillelaskupaik",6940280,3461318,"62.565178457","26.244464253"
"Konnevesi","Rantautumispaikka Pesiäissalmi",6939918,3461859,"62.561987232","26.255064752"
"Konnevesi","Rantautumispaikka Karinkoski",6944348,3465110,"62.602053749","26.317359631"
"Konnevesi","Ruunalampi",6943503,3467222,"62.594667265","26.358640821"
"Konnevesi","Haukisaari",6945968,3469595,"62.616986571","26.404385358"
"Konnevesi","Rantautumispaikka Neituri",6961999,3470825,"62.760910162","26.425559254"
"Hankasalmi","Kuuhankaveden aseman vesillelaskupaikka",6911011,3472832,"62.303607373","26.472997102"
"Konnevesi","Lapinsalo",6943468,3475731,"62.595014481","26.524267052"
"Konnevesi","Kivisalmen satama",6951292,3477963,"62.665351449","26.566687888"
"Konnevesi","Iso Pyysalo",6944041,3478253,"62.600313741","26.573282983"
"Kiuruvesi","Avantouintipaikka",7062045,3481514,"63.659143317","26.623276127"
"Pielavesi","Urkinmäen laskettelurinne",7014835,3490371,"63.235977662","26.805015063"
"Iisalmi","Hanhilammen ampumahiihtoalue",7056670,3503782,"63.611401487","27.072769399"
"Puolanka","Honkavaaran hiihtokeskus",7197498,3531923,"64.873155822","27.669860522"
"Kuopio","Kuopion ravirata",6984332,3535644,"62.960726661","27.699100327"
"Kajaani","Vimpelinvaaran laskettelukeskus",7123542,3534223,"64.209614874","27.701146237"
"Siilinjärvi","Kasurilanmäen laskettelukeskus",6993418,3535923,"63.042209657","27.706564882"
"Kajaani","Hiihtomaa Vimpelinlaakso",7123951,3534866,"64.213219249","27.714479694"
"Puolanka","Paljakan laskettelukeskus",7175974,3545483,"64.678562121","27.949100364"
"Kaavi","Hiihtomaa",6987171,3575718,"62.980077385","28.489946843"
"Rantasalmi","Parkunmäen kilpahiihtoapaikka",6875911,3578531,"61.981572411","28.494662949"
"Joutseno","Kähärilän tekolampi",6773418,3581147,"61.061619768","28.499586549"
"Joutseno","Urh.keskuksen kilpahiihtokeskus",6779128,3581367,"61.112799099","28.506091071"
"Joutseno","Konnunsuon tekolampi",6770043,3582427,"61.031077550","28.521828675"
"Joutseno","Myllymäen hiihtokeskus",6779246,3585940,"61.112887006","28.590929469"
"Joutseno","Myllymäen laskettelukeskus",6779528,3586027,"61.115397740","28.592669734"
"Joutseno","Aholan tekolampi",6781548,3591695,"61.132239114","28.698732244"
"Suomussalmi","Haverisen kilpahiihtokeskus",7197788,3586831,"64.866038989","28.827980496"
"Suomussalmi","Hiihtomaa",7198434,3590090,"64.870970028","28.897089438"
"Kaavi","Maarianvaaran hiihtokeskus",6973560,3597969,"62.852728461","28.920517512"
"Kaavi","Maarianvaaran rinnehiihtokeskus",6973597,3598013,"62.853048459","28.921402657"
"Suomussalmi","Ruomasian puisto",7199194,3592316,"64.877177021","28.944513835"
"Ruokolahti","Kukonharju",6820868,3581418,"61.487225855","28.525105746"
"Ruokolahti","Lieviskän mylly",6827418,3590341,"61.544002323","28.695714405"
"Ruokolahti","Savonkaita lähtöpaikka",6820192,3595641,"61.477917846","28.791594486"
"Ruokolahti","Avantouinti",6797369,3597963,"61.272635117","28.823185837"
"Ruokolahti","Kemppilän mylly",6824078,3601869,"61.511185159","28.910529909"
"Suomussalmi","Jalonuoman avantouintipaikka",7200088,3590754,"64.885617882","28.912143203"
"Kuusamo","Kirkkolahden hiihtomaa",7321429,3599600,"65.970609475","29.187635555"
"Pyhäselkä","Reijolan avantouintipaikka",6941196,3644699,"62.547228681","29.809400088"
"Outokumpu","Matovaaran kilpahiihtokeskus",6959108,3603171,"62.721718238","29.013733063"
"Kuusamo","Oivangin hiihtomaa",7332639,3591486,"66.073512045","29.017181135"
"Kuusamo","Rukan kilpahiihtokeskus",7343661,3596717,"66.170734379","29.140958475"
"Kuusamo","Rukan laskettelukeskus",7343056,3597210,"66.165161207","29.151421118"
"Kuusamo","Petäjäkankaan kilpahiihtokeskus",7324791,3598235,"66.001162407","29.160175192"
"Nurmes","Kotilanvaaran (kilpalatu) hiihtokeskus",7051948,3607823,"63.552719047","29.165780050"
"Nurmes","Freestylerinne",7049489,3609973,"63.530016879","29.207291419"
"Polvijärvi","Uimapaikka/kk",6974015,3621076,"62.849896804","29.374192519"
"Parikkala","Oronmyllyn kilpahiihtokeskus",6837165,3626166,"61.621371579","29.375517740"
"Kuhmo","Lautasvaara",7123823,3615973,"64.194365088","29.383561034"
"Punkaharju","Pakkaspirtin hiihtokeskus",6851741,3629567,"61.750920638","29.449908843"
"Joensuu","Lykynlammen hiihtomaa",6953359,3636324,"62.659413699","29.656542784"
"Lieksa","Kolin laskettelukeskus",7002644,3642058,"63.098902318","29.810212913"
"Kontiolahti","Kirkonkylän kilpahiihtokeskus",6965506,3645486,"62.764765498","29.845505220"
"Lieksa","Lieksan hiihtokeskus",7025305,3652020,"63.297877053","30.028358784"
"Eno","Vallisärkän kilpahiihtokeskus",6971258,3661079,"62.809789401","30.155828510"
"Ilomantsi","Parppein hiihtokeskus",6956860,3701854,"62.660745658","30.936276637"
"Metsähallitus","Kolmoislammen varaustulipaikka",6689702,3362710,"60.295348334","24.513997556"
"Metsähallitus","Keskipeurajärvi tulipaikka",7402698,3418598,"66.704111747","25.152090717"
"Metsähallitus","Tammukkaoja tulipaikka",7592840,3521206,"68.419016906","27.512226520"
"Metsähallitus","Tammukkaoja liiteri",7592838,3521230,"68.418997185","27.512810543"
"Metsähallitus","Martimoaavan luontopolun lintutorni",7306163,3419231,"65.839011132","25.228305718"
"Metsähallitus","Lakkapolku lintulava",7010370,3685697,"63.148335725","30.681406414"
"Metsähallitus","Villenkämpä  laavu",7503323,3391722,"67.597215087","24.450478199"
"Metsähallitus","Vareskota",7513160,3388798,"67.684230369","24.372023306"
"Metsähallitus","Ulko-Tammion luontotorni",6693213,3525490,"60.349334807","27.458620419"
"Metsähallitus","Kilpisaari tulentekopaikka",6685707,3517431,"60.282390321","27.312012748"
"Metsähallitus","Suuri-Pisi tulipaikka",6704474,3534922,"60.449699513","27.631399525"
"Metsähallitus","Lanskeri länsirannan tulentekopaikka",6696859,3528015,"60.381891614","27.504857765"
"Metsähallitus","Modermaganin tulentekopaikka",6643628,3299781,"59.856488496","23.423156749"
"Metsähallitus","Fladalandetin tulentekopaikka",6643342,3298499,"59.853303606","23.400603125"
"Metsähallitus","Tahkonen laavu",7138906,3656443,"64.313487757","30.230935555"
"Metsähallitus","Putkiperä laavu",7146760,3587803,"64.408319092","28.817626053"
"Metsähallitus","Putkiperä laavu tulipaikka",7146756,3587809,"64.408281691","28.817748055"
"Metsähallitus","Iltarusko nuotiopaikka",7144764,3571143,"64.394289462","28.471260921"
"Metsähallitus","Älgön luontotorni",6644731,3298345,"59.865671287","23.396513661"
"Metsähallitus","Kalliokoski kota",7517599,3392262,"67.725288325","24.449346493"
"Metsähallitus","Pyhäjärvi parkkialueen laavu",7514333,3388671,"67.694688182","24.367854949"
"Metsähallitus","Pyhäjärvi  laavu  1.",7512575,3388915,"67.679035174","24.375365028"
"Metsähallitus","Villa Elfvikin lintutorni",6678465,3379495,"60.199896545","24.823985384"
"Metsähallitus","Linkusilmä kota",7521219,3384897,"67.754896783","24.271730219"
"Metsähallitus","Roukuma kota",7508674,3397138,"67.647097278","24.572731373"
"Metsähallitus","Aakenusjärven kota",7519154,3394482,"67.740028528","24.500274552"
"Metsähallitus","Holma-Saarijärvi tulentekopaikka",6690421,3361644,"60.301433418","24.494246255"
"Metsähallitus","Kumputunturi hiihtokota",7515646,3437665,"67.721024219","25.523030059"
"Metsähallitus","Räpäskuru kota",7517181,3439532,"67.735176062","25.566288210"
"Metsähallitus","Kuolavaara puolikota",7506476,3443946,"67.640102747","25.676020480"
"Metsähallitus","Lahnasuo lintulava",7004892,3683365,"63.100479529","30.629110266"
"Metsähallitus","Teretti luontotorni",7004241,3689394,"63.091548606","30.747493579"
"Metsähallitus","Saaripuro laavu",7189252,3526602,"64.799660391","27.556079001"
"Metsähallitus","Saaripuro tulentekopaikka",7189252,3526601,"64.799660470","27.556057962"
"Metsähallitus","Kalliuskoski laavu",7202747,3520698,"64.921111395","27.433808756"
"Metsähallitus","Kalliuskoski tulentekopaikka",7202743,3520715,"64.921074473","27.434167461"
