siteName,X,Y
Sauna,310055.81397819,6869911.63941324
Heinälato 1,310052.457919562,6870242.09215054
Heinälato 2,310297.260545021,6870171.2065791
Heinälato 3,310315.409648316,6870109.17920459
Niila Magga,454512.72347582,7597977.34375101
Tapuli,231390.71501577,6724281.3820297
Kartanopiha,354481.924554077,6703316.71932598
Asemapuisto,228706.700943275,7007915.18919099
Asemapuisto,229012.258949507,7007948.24246309
Asemapäällikön talo,228580.523033858,7008018.65813018
Vaateaitta,390761.116228009,6843701.79435118
Tapuli,471034.888708286,6709681.1238699
Kellari,228545.049411697,7008045.11274542
Ulkohuonerakennus,228572.664744244,7008046.34249511
Tapuli,343067.210541005,6966166.33704874
Kellotapuli,661161.349118258,6965919.60726987
Asemaravintolan talousrakennus,553842.229831879,7135078.7954078
Asuinrakennus 2,522753.846617328,7149260.89868182
Tapuli,234030.597329594,7004376.19954206
Puisto,324271.468135875,6746990.58963637
Rantavaja,489926.97555817,6728941.71343276
WC,489781.898173626,6729047.81183674
"Tammela, entinen työväen asuinrakennus",489742.920067639,6729040.13339967
Huvila,220860.532720327,6688456.16414888
Puisto,308644.059467965,6746505.88829592
liiteri,427426.130956549,7362272.29083083
Kellari,369961.650150646,6890949.7571654
Kellari,359969.682358245,6935565.88568185
Paja,314459.639057964,6663852.07224042
"Väentupa, läntinen sivurakennus",389822.376329978,6678340.1132417
"Aitta, itäinen sivurakennus",389862.566575077,6678333.49458891
Asuinrakennus 3,389866.343171764,6678357.60968035
"Varasto, ent. talli",389904.16685955,6678325.46622306
Maitohuone,389944.827117773,6678311.27911081
Puisto,389836.377773593,6678329.51539886
Sotakorkeakoulu,386855.381372933,6672587.674134
Läntinen upseerisiipi,387389.464707984,6671825.18933557
Tavaramakasiini,614715.385998695,6947611.65380069
päärakennus,227768.290879016,7008058.86994519
ulkorakennus,227736.453674189,7008050.83158137
piharakennus,227751.947615622,7008038.33412519
kellari,427411.634762277,7362240.1573715
liiteri,427380.391258239,7362187.47809421
Asuinrakennus 7,602107.91060821,6790970.2577025
Asuinrakennus 2,602267.179090787,6790939.38398676
Asuinrakennus 4,602339.70129137,6790909.98996983
Asuinrakennus 5,602413.212993268,6790879.60615436
Asuinrakennus 6,602486.716449323,6790847.26273777
Asuinkasarmi,359927.142047522,6935594.87978019
Lennätin- ja viestiavojohtolinja,368012.810818047,6903842.54287626
Lennätin- ja viestiavojohtolinja,368833.338292251,6902942.27612295
Leponiemen talousrakennus,368521.348527469,6903052.16375564
Yksinkertainen vahtitupa Leponiemi,368550.093540684,6903052.72364168
"Keskimmäinen asuinkasarmi, Tahintie 3-7",508478.764659803,6908411.94278817
"Liiteri, Tahintie 3-7",508509.026908369,6908383.10865727
"Vanha asemarakennus, Savon radan museo",508707.850706033,6907674.9627983
Välskärien talo,513950.7234263,6838622.44823734
Kellari,508505.184344927,6908241.00758153
Huvimaja,535020.010020715,6973208.01373588
Aliupseeriklubi,513929.638802435,6838552.48247867
Huvimaja,383838.919595957,6673835.76008972
Asuinrakennus,354433.851281832,6703953.72966438
Paja,354470.842139343,6704006.73887451
Tuulimylly,203857.568798651,6789874.75068978
Vara-asema,606307.8077127,7047656.54995228
Korjausvaja,606745.538357152,7047517.37828027
