"TietoLahde,C,254","Nimi,C,254","KoordYkPoh,N,9,1","KoordYkIta,N,9,1"
"Metsähallitus","Kaptukainen kammi piha",7571810,3519966
"Metsähallitus","Aalistunturi käymälä",7439379,3388267
"Metsähallitus","Taviselkä keittokatos",7471600,3598580
"Metsähallitus","Painopää liiteri käymälä",7525271,3543188
"Metsähallitus","Väärä-Kontunen kuivakäymälä",6830185,3598681
"Metsähallitus","Sorvalampi käymälä",7360193,3415743
"Metsähallitus","Rajapuro käymälä",7356881,3413570
"Metsähallitus","Issakka käymälä",7090217,3652834
"Metsähallitus","Raatejärvi laituri",7046315,3401774
"Metsähallitus","Kaapin Jouni kuivakäymälä 1",7630965,3467682
"Metsähallitus","Kaapin Jouni kuivakäymälä 2",7631034,3467706
"Metsähallitus","Saarijärvi uimalaituri",7049082,3403797
"Metsähallitus","Saarijärvi käymälä",7049079,3403761
"Metsähallitus","Uitto laituri",7061531,3565168
"Metsähallitus","Nokkala varasto/käymälä",6700725,3282673
"Metsähallitus","Änäkäinen kuivakäymälä läntinen",7056050,3653976
"Metsähallitus","Pyylinoja tulentekopaikka",6908877,3590696
"Metsähallitus","Pyylinoja kuivakäymälä",6908896,3590725
"Metsähallitus","Saarisuo-Valleussuo torni",6991261,3371991
"Metsähallitus","Vaattunki lokasäiliökäymälä",7389658,3461107
"Metsähallitus","Älgö huoltorakennuksen käymälä",6644501,3296739
"Metsähallitus","Jyrkkäniemi polttopuusuoja-kuivakäymälä",7024431,3383980
"Metsähallitus","Jyrkkäniemi tulentekopaikka",7024441,3383966
"Metsähallitus","Pitkälahti tulentekopaikka",7026068,3383026
"Metsähallitus","Niesakeron p- kuivakäymälä",7492214,3377368
"Metsähallitus","Pitkälahti tulentekopaikka 2",7026139,3382802
"Metsähallitus","Peuran polku lintutorni Iso-Valvatti",7033135,3381837
"Metsähallitus","Iso-Valvatti tulipaikka",7033094,3381850
"Metsähallitus","Koirasalmi itäpuoli tulentekopaikka Salamajärvi",7016780,3390663
"Metsähallitus","Koirasalmi länsipuoli tulentekopaikka Salamajärvi",7016827,3390616
"Metsähallitus","Koirajärvi tulentekopaikka länsirannalla",7016960,3390572
"Metsähallitus","Arpainen kotalaavu Hirvilampi",6957035,3366896
"Metsähallitus","Kattilankalla nuotiopaikka",7228141,3406033
"Metsähallitus","Kiviönniemi nuotiopaikka",6874558,3426278
"Metsähallitus","Kiviönniemi keittokatos",6874572,3426280
"Metsähallitus","Juurakkovuopaja lintutorni",7631983,3526478
"Metsähallitus","Lintuniemi puolikota",6868913,3447329
"Metsähallitus","Ahven-Valkeinen tulentekopaikka",7041947,3589243
"Metsähallitus","Äijänniemen laavu",6896901,3440994
"Metsähallitus","Valkeinen tulentekopaikka",7038859,3394873
"Metsähallitus","Peuran polku tulipaikka Pieni Sääksjärvi",7029265,3389318
"Metsähallitus","Jussarö käymälä 2",6640161,3307988
"Metsähallitus","Talviaho tulentekopaikka",7021822,3388953
"Metsähallitus","Ahvenlampi laavu",7019409,3393550
"Metsähallitus","Peuran polku käymälä Pikku-Syrjä",7017911,3382157
"Metsähallitus","Iso-Valkeinen kotalaavu",7016374,3380027
"Metsähallitus","Salvoniemi tulentekopaikka",7030246,3659968
"Metsähallitus","Huhtala kuivakäymälä pysäköintialueella",6846609,3390662
"Metsähallitus","Karvio nuotiokatos Kalapaikka",6935433,3584517
"Metsähallitus","Jussarö merivoimien nuotiopaikka",6640389,3308070
"Metsähallitus","Tammikämppä, varasto/kuivakäymälä",7076814,3623774
"Metsähallitus","Toskaljoen käymälä varasto",7686006,3280661
"Metsähallitus","Vahterjärvi tulentekopaikka",6845330,3394897
"Metsähallitus","Petäjävaara wc/ liiteri",7278054,3577732
"Metsähallitus","Ahveninen, laavun tulipaikka",7278378,3580212
"Metsähallitus","Uuronrotko parkkipaikka kuivakäymälä",7080953,3620633
"Metsähallitus","Jogasjärven autiotuvan liiteri käymälä",7684666,3281212
"Metsähallitus","Massilampi tulipaikka",7335992,3485930
"Metsähallitus","Murhijärvi laavu",7180600,3644430
"Metsähallitus","Mätäsjoki tulentekopaikka",7037132,3681672
"Metsähallitus","Kivijärvenkosket tulentekopaikan kuivakäymlä",7183018,3643698
"Metsähallitus","Särkänmaja tulentekopaikka",7223831,3627445
"Metsähallitus","Särkänmaja autiotuvan polttopuusuoja -kuivakäymälä",7223853,3627453
"Metsähallitus","Tammikoski laavun tulentekopaikka",7184287,3643131
"Metsähallitus","Tammikoski laavun kuivakäymälä",7184294,3643079
"Metsähallitus","Louhenkoski laavun kuivakäymälä",7185016,3642558
"Metsähallitus","Kirppula tulentekopaikka",7216903,3622734
"Metsähallitus","Kirppula polttopuusuoja-kuivakäymälä",7216923,3622749
"Metsähallitus","Limpurinlampi tulentekopaikka",7199643,3623228
"Metsähallitus","Limpurinlampi polttopuusuoja-kuivakäymälä",7199624,3623206
"Metsähallitus","Hoikka tulentekopaikka",7207384,3622328
"Metsähallitus","Hoikka tulentekopaikan polttopuusuoja-kuivakäymälä",7207413,3622330
"Metsähallitus","Pölkkylampi kuivakäymälä",7076393,3629445
"Metsähallitus","Pölkkylampi tulentekopaikka",7076379,3629423
"Metsähallitus","Tetrijärvi kuivakäymälä",7078298,3628663
"Metsähallitus","Tetrijärvi laavu",7078302,3628629
"Metsähallitus","Hiltuslahti tulentekopaikka",7077370,3626791
"Metsähallitus","Hoikanpää tulentekopaikka",7231874,3631160
"Metsähallitus","Hiltuslahti kuivakäymälä",7077411,3626783
"Metsähallitus","Hoikanpää  polttopuusuoja-kuivakäymälä",7231867,3631123
"Metsähallitus","Kukonlampi laavu",7077034,3628188
"Metsähallitus","Kukonlampi kuivakäymälä",7077071,3628176
"Metsähallitus","Mujeniemi laavu",7077271,3625225
"Metsähallitus","Lintulampi autiotupa tulentekopaikka",7232684,3628842
"Metsähallitus","Pukinoja käymälä",7353601,3415206
"Metsähallitus","Sokanaapa lintutorni",7452570,3524890
"Metsähallitus","Sokanaapa invakäymälä",7452527,3524860
"Metsähallitus","Joutsniemi nuotiopaikka",6868751,3447892
"Metsähallitus","Särkijärvi puucee",6892947,3413963
"Metsähallitus","Särkijärvi nuotiopaikka",6892973,3413994
"Metsähallitus","Särkijärvi laavu",6892980,3413980
"Metsähallitus","Särkijärvi levähdyskatos",6892980,3413990
"Metsähallitus","Linjaniemi käymälä",7341891,3495925
"Metsähallitus","Kumpusaari halkoliiteri, käymälä",7339804,3579047
"Metsähallitus","Kobmajoen kuivakäymälä",7697431,3282958
"Metsähallitus","Solistupa tulentekopaikka Ylä-Keitele",6999385,3434650
"Metsähallitus","Neuhkaman liiteri käymälä",7638982,3305670
"Metsähallitus","Saitsijoen liiteri käymälä",7630452,3307232
"Metsähallitus","Mustaniemi nuotiopaikka",6896873,3445098
"Metsähallitus","Kirkkoniemen laavu",6921693,3451429
"Metsähallitus","Iso-Saukkonen tulentekopaikka Luotonen",7017193,3422921
"Metsähallitus","Sissankiselän mutterikodan käymälä",7598561,3361357
"Metsähallitus","Ahma wc",7294053,3563495
"Metsähallitus","Soiperoisen grillikota",7288104,3557565
"Metsähallitus","Saarivesi laituri",7070663,3385508
"Metsähallitus","Kettulampi kuivakäymälä+varasto",7000023,3367539
"Metsähallitus","Kuoppajärvi liiteri kuivakäymälä",7629731,3494982
"Metsähallitus","Haapakoski tulentekopaikka",7645751,3498022
"Metsähallitus","Laajalahden lintutorni",7082520,3304446
"Metsähallitus","Hiidenjärvi kuivakäymälä",7206062,3569178
"Metsähallitus","Julmankankaan tulentekopaikan kuivakäymälä",7208460,3565563
"Metsähallitus","Nanguniemi kuivakäymälä",7638693,3532117
"Metsähallitus","Pallasjärvi rantasauna uimalaituri",7551699,3381565
"Metsähallitus","Nellim uittoränni puolilaavu",7642658,3558392
"Metsähallitus","Kuivajärvi kota",7046503,3403248
"Metsähallitus","Jänisjärvi liiteri ja vessa",7723944,3568328
"Metsähallitus","Muotkavaaran kuivakäymälä",7515991,3382212
"Metsähallitus","Kotaoja suu wc",7621128,3450932
"Metsähallitus","Silisjoki vuokrakämppä liiteri varasto vessa",7725490,3555552
"Metsähallitus","Silisjoki vuokrakämppä tulipaikka",7725428,3555547
"Metsähallitus","Sirma vuokrakämppä liiteri ja käymälä",7771470,3518226
"Metsähallitus","Kuivajärvi käymälä",7046420,3403358
"Metsähallitus","Luttokämppä vessa",7594722,3550231
"Metsähallitus","Nangujärvi kämppä vessa",7617636,3541977
"Metsähallitus","Koirilampi tulentekopaikka",6976238,3651809
"Metsähallitus","Appisjoki liiteri",7602601,3484774
"Metsähallitus","Kyläjokisuu tulipaikka",7595240,3481740
"Metsähallitus","Ivalojoen Kultala liiteri",7602516,3487142
"Metsähallitus","Ivalojoen Kultala grillikatos",7602481,3487063
"Metsähallitus","Metsänvartijan majan ulkorakennus",6950756,3715218
"Metsähallitus","Luirojärvi huoltotupa käymälä",7570016,3542712
"Metsähallitus","Kilsikosken laavu",7314506,3524234
"Metsähallitus","Kilsikosken laavun Tulentekopaikka",7314500,3524228
"Metsähallitus","Kilsikosken WC",7314498,3524242
"Metsähallitus","Sammakoinen lintutorni",7238354,3504059
"Metsähallitus","Olvassuo lintutorni",7221465,3507554
"Metsähallitus","Kalajärvi wc",7280283,3575334
"Metsähallitus","Maantielampi wc/liiteri",7278229,3586599
"Metsähallitus","Anterijoki tulipaikka",7570209,3557253
"Metsähallitus","Lillukkalahti kuivakäymälä",7659406,3536054
"Metsähallitus","Vironiemi liiteri käymälä varasto",7681788,3555852
"Metsähallitus","Aulanko toimisto pysäköintialue",6770793,3362491
"Metsähallitus","Aulanko toimiston pysäköintialue",6770821,3362482
"Metsähallitus","Mustaviiri ranta Svartviran strand",6685278,3478421
"Metsähallitus","Mustaviiri niitty Svartviran äng",6685214,3478330
"Metsähallitus","Isola kuivakäymälä",7620508,3444381
"Metsähallitus","Mustaviiri  Svartviran",6685196,3478390
"Metsähallitus","Kotaoja huoltotupa kuivakäymälä varasto",7621571,3450881
"Metsähallitus","Harjuntakanen vanha laavu",7043619,3406872
"Metsähallitus","Ruoke käymälä",6879254,3337030
"Metsähallitus","Heinä-Suvanto nuotiokatos",7006771,3457462
"Metsähallitus","Heinä-Suvanto liiterikäymälä",7006792,3457460
"Metsähallitus","Kauhalampi laavu",7025499,3377337
"Metsähallitus","Kauhalampi monttukäymälä",7025511,3377300
"Metsähallitus","Petraniemi leirikeittiö",6948479,3714776
"Metsähallitus","Petkeljärvi leirialue käymälä",6948568,3714728
"Metsähallitus","Petkeljärvi rantasaunan talousrakennus",6948616,3714567
"Metsähallitus","Kirnulammen laavu",7177057,3642888
"Metsähallitus","Kirnulampi tulentekopaikka",7177064,3642835
"Metsähallitus","Aittojärvi polttopuusuoja-kuivakäymälä",7188651,3636070
"Metsähallitus","Honkasaari tulentekopaikka Ylä-Keitele",7001436,3431436
"Metsähallitus","Onnelannummi keittokatos",6690807,3279110
"Metsähallitus","Onnelannummi käymälä",6690863,3279113
"Metsähallitus","Hamarijärvi tulentekopaikka",6690307,3279326
"Metsähallitus","Piikanummen P-paikka",6686340,3279066
"Metsähallitus","Punassuo pysäköintialue",6684575,3279200
"Metsähallitus","Hirvisuo lintutorni",7234544,3466836
"Metsähallitus","Hannukuru uimalaituri",7573615,3373695
"Metsähallitus","Taivalkoski polttopuusuoja-kuivakäymälä",7236886,3625359
"Metsähallitus","Taivalkoski tulentekopaikka",7236888,3625344
"Metsähallitus","Mustalampi laavu",7232596,3632596
"Metsähallitus","Mustalampi polttopuusuoja-kuivakäymälä",7232592,3632633
"Metsähallitus","Teerilampi kuivakäymälä",7233954,3631475
"Metsähallitus","Teerilampi tulentekopaikka",7233885,3631488
"Metsähallitus","Hukkalampi tulentekopaikka",7190648,3628884
"Metsähallitus","Hukkalampi tulentekopaikan halkovaja-kuivakäymälä",7190628,3628848
"Metsähallitus","Opukasjärvi huussi",7724712,3555556
"Metsähallitus","Jeahkkas varasto/käymälä",7679533,3254621
"Metsähallitus","Siosjoen käymälä",7583171,3371041
"Metsähallitus","Keltasilmä laavu",6950184,3713249
"Metsähallitus","Keltasilmä kuivakäymälä",6950216,3713204
"Metsähallitus","Tetrijärvi laavu",6953235,3710116
"Metsähallitus","Tetrijärvi kuivakäymälä",6953220,3710126
"Metsähallitus","Linnalampi laavu",6964789,3705285
"Metsähallitus","Tetrijärvi tulentekopaikka",6953233,3710116
"Metsähallitus","Keltasilmä tulentekopaikka",6950190,3713246
"Metsähallitus","Niinisaari liiteri-käymälä",6870748,3452066
"Metsähallitus","Niinisaari laavu",6870770,3452058
"Metsähallitus","Halttunen laavu",6870054,3450613
"Metsähallitus","Huikkimajoki tulipaikka",7737499,3555047
"Metsähallitus","Pakanajoki  wc",7721659,3584393
"Metsähallitus","Kälkäjä wc",7260451,3575566
"Metsähallitus","Tuparanta laituri",6837223,3219421
"Metsähallitus","Kuivakäymälä",7243053,3416628
"Metsähallitus","Seliskeri etelä keittokatos",6855617,3203765
"Metsähallitus","Seliskeri tulentekopaikka eteläisempi",6855471,3203715
"Metsähallitus","Iso-Enskeri tulentekopaikka",6853935,3202560
"Metsähallitus","Iso-Holman pieni tulentekopaikka",6691571,3361374
"Metsähallitus","Kilpisuo tulentekopaikka 2",6988989,3387579
"Metsähallitus","Manun kämppä tulentekopaikka",7043928,3408184
"Metsähallitus","Piimäkuru käymälä",7504426,3617808
"Metsähallitus","Kärnänkoski kuivakäymälä",7007733,3446496
"Metsähallitus","Kärnänkoski kuivakäymälä ja jätepiste",7007829,3446317
"Metsähallitus","Paloniemi veneluiska",7114839,3611652
"Metsähallitus","Kivinen nuotiokehä",6914826,3534370
"Metsähallitus","Mikkeli Valkea tulentekopaikka",6856401,3512677
"Metsähallitus","Mikkeli Valkea tulentekopaikka",6856244,3512446
"Metsähallitus","Naruskan tammi käymälä",7479688,3600826
"Metsähallitus","Vuorenaluslampi käymälä",7012661,3417864
"Metsähallitus","Mustalamminvuori näkötorni",6785723,3492005
"Metsähallitus","Vuorenaluslampi laavu",7012691,3417903
"Metsähallitus","Luotonen polttopuusuoja-käymälä-jätepiste",7012290,3418762
"Metsähallitus","Luotonen keittokatos",7012283,3418731
"Metsähallitus","Ruuhijärvet kotalaavu Poskijärvi",7011998,3418528
"Metsähallitus","Ruuhilampi laavu 2",7011886,3419140
"Metsähallitus","Pieni-Karahkan laavu",6959574,3376799
"Metsähallitus","Lojukoski tulentekopaikka",6785308,3494550
"Metsähallitus","Tukkiniemi tulentekopaikka",6784798,3494216
"Metsähallitus","Kangasjärvi kotalaavu",7020434,3416751
"Metsähallitus","Tuntsa huoltotupa käymälä",7500675,3618495
"Metsähallitus","Niemisjärvi invalaituri",6791209,3393457
"Metsähallitus","Niemisjärvi keittokatos",6791218,3393446
"Metsähallitus","Kotajärvi kuivakäymälä",7046166,3404484
"Metsähallitus","Kotajärvi käymälä",7046606,3405330
"Metsähallitus","Sorsakolu puuvaja-käymälä",6793510,3401920
"Metsähallitus","Vähä-Koukkujärvi laavu/nuotiokehä",6792248,3393904
"Metsähallitus","Joutsniemi käymälä",6868762,3447888
"Metsähallitus","Kivijärvenkangas laavu",7116066,3462160
"Metsähallitus","Niemisjärvi telttailualue wc/varasto",6791248,3393420
"Metsähallitus","Niemisjärvi telttailualue wc/varasto",6791436,3393611
"Metsähallitus","Niemisjärvi telttailualue laavu",6791517,3393588
"Metsähallitus","Suomu leirintäalue tulentekopaikka",7008408,3688406
"Metsähallitus","Haaramaa laavu",7299992,3466584
"Metsähallitus","Konnevesi käymälä Pyysalo",6944056,3478266
"Metsähallitus","Vaskojärvi  polttopuusuoja  kuivakäymälä  varasto",7626446,3432260
"Metsähallitus","Konnevesi käymälä Lapinsalo",6943441,3475758
"Metsähallitus","Lapinsalo laavu",6943458,3475731
"Metsähallitus","Kirkasjärven kota",7501630,3414594
"Metsähallitus","Karttimojoki laavu",7227846,3630157
"Metsähallitus","Karttimojoen polttopuusuoja kuivakäymälä",7227860,3630142
"Metsähallitus","Karttimojoki tulentekopaikka",7227839,3630157
"Metsähallitus","Paasonkoski tulentekopaikka",7185436,3634758
"Metsähallitus","Paasonkoski käymälä",7185427,3634731
"Metsähallitus","Saarivaara polttopuusuoja kuivakäymälä",7190936,3575351
"Metsähallitus","Palokoski tulentekopaikka",7185986,3635009
"Metsähallitus","Karhusen kalamajan kuivakäymälä",7180542,3644964
"Metsähallitus","Hanhilampi pysäköintialue",7193639,3573801
"Metsähallitus","Hammaskota",7563616,3553296
"Metsähallitus","Hoikanlampi uimakoppi 1",7122518,3535470
"Metsähallitus","Hoikanlampi uimarannan käymälä",7122485,3535478
"Metsähallitus","Hoikanlampi laavu",7122616,3535356
"Metsähallitus","Hoikanlampi laavun tulipaikka",7122616,3535360
"Metsähallitus","Hoikanlampi uimakoppi 2",7122552,3535357
"Metsähallitus","Hoikanlampi uimakoppi 3",7122127,3535454
"Metsähallitus","Hoikanlampi käymälä",7122498,3535357
"Metsähallitus","Hoikanlampi keittokatos",7122462,3535360
"Metsähallitus","Ahmatupa polttopuusuoja-kuivakäymälä-jätteiden keräypiste",7287440,3525115
"Metsähallitus","Venäläis aho laavu",7190810,3579007
"Metsähallitus","Venäläisaho polttopuusuoja kuivakäymälä",7190795,3579015
"Metsähallitus","Vähäjärvi wc",7290523,3552535
"Metsähallitus","Marjalampi wc",7302287,3537761
"Metsähallitus","Ohtakarin puomilaavu",7114111,3325381
"Metsähallitus","Ohtakarin puomi tulentekopaikka",7114111,3325383
"Metsähallitus","Kuivakäymälä",7113979,3325661
"Metsähallitus","Kuivakäymälä 2",7113979,3325661
"Metsähallitus","Vattajan uimaranta tulentekopaikka",7113966,3325691
"Metsähallitus","Vattajan uimaranta liiteri kuivakäymälä",7113915,3325935
"Metsähallitus","Vattajan uimaranta kuivakäymälä",7113938,3325938
"Metsähallitus","Vattajan uimaranta tulentekopaikka ja maastokaluste",7113958,3325909
"Metsähallitus","Vatunki lintutorni",7112985,3326699
"Metsähallitus","Vatunki laavu",7113001,3326690
"Metsähallitus","Pitkäpauha polttopuusuoja - kuivakäymälä",7113898,3326511
"Metsähallitus","Pitkäpauha kuivakäymälä",7113876,3326572
"Metsähallitus","Pitkäpauha polttopuusuoja - kuivakäymälä",7113865,3326571
"Metsähallitus","Lahdenkrooppi Amiraalinlaavu",7108689,3323553
"Metsähallitus","Vattaja Metsästäjän laavu",7109967,3324367
"Metsähallitus","Paatsalo huussi",6860459,3422037
"Metsähallitus","Kourajärvi laavu",6967278,3415375
"Metsähallitus","Kirstinkari kota",7270414,3558934
"Metsähallitus","Lehtovaara tulipaikka",7260292,3578990
"Metsähallitus","Parttosenkangas laavu",7104275,3503462
"Metsähallitus","Parttosenkangas käymälä",7104286,3503477
"Metsähallitus","Parttosenkangas laavu tulipaikka",7104275,3503462
"Metsähallitus","Jouhteninen tulentekopaikka",6966966,3641001
"Metsähallitus","Pyhäsaari laavu",6937717,3639186
"Metsähallitus","Laituri Pieni Palojärvi",7001118,3418910
"Metsähallitus","Tulentekopaikka",7070146,3390249
"Metsähallitus","Kolminurkka tulentekopaikka",7053488,3401907
"Metsähallitus","Maasydän tulipaikka",7070538,3390468
"Metsähallitus","Maansydän tulentekopaikka",7070313,3390618
"Metsähallitus","Kanavuori nuotiopaikka",6904292,3442945
"Metsähallitus","Kirkkosalmi lintutorni",7213652,3393901
"Metsähallitus","Kivijärvi liiterikäymälä Huhmarsaari",6999837,3409438
"Metsähallitus","Saamen polku Vainospää kuivakäymälä",7718856,3569599
"Metsähallitus","Saunakosken tulentekopaikka, kuivakäymälä",7729861,3567763
"Metsähallitus","Saunakoski valvontatupa kuivakäymälä",7729363,3567444
"Metsähallitus","Kiivijärvi lintutorni",7115817,3462264
"Metsähallitus","Sollmusjärvi kuivakäymälä",7712751,3569142
"Metsähallitus","Taivallampi kota",7184177,3630822
"Metsähallitus","Taivallampi kodan tulentekopaikka",7184195,3630808
"Metsähallitus","Taivallampi kodan kuivakäymälä",7184149,3630803
"Metsähallitus","Taivallampi itäinen tulentekopaikka",7184337,3631013
"Metsähallitus","Taivallampi itäisen tulentekopaikan kuivakäymälä",7184326,3631071
"Metsähallitus","Taivallampi pysäköintipaikka",7184512,3631012
"Metsähallitus","Taivallampi pohjoinen tulentekopaikan kuivakäymälä",7184458,3630492
"Metsähallitus","Taivallampi pohjoinen tulentekopaikka",7184440,3630500
"Metsähallitus","Taivallampi eteläinen tulentekopaikka",7184229,3630546
"Metsähallitus","Seitenahveninen pysäköintipaikka",7196109,3590376
"Metsähallitus","Vuotava kaksoislaavu",6809540,3218176
"Metsähallitus","Vuotava käymälä",6809463,3218200
"Metsähallitus","Seitenahveninnen takkamaja tulentekopaikka",7196319,3590209
"Metsähallitus","Taivalkoski pysäköintialue",7236964,3625335
"Metsähallitus","Kevo yläkämppä käymälä",7720496,3490604
"Metsähallitus","Muhkurasoja Liiteri-Eko-piste-PuuCee",7682700,3449341
"Metsähallitus","Kuivi autiotupa käymälä",7725831,3481377
"Metsähallitus","Inari retkeilyalueHaapakoski polttopuusuoja-kuivakäymälä",7645751,3498022
"Metsähallitus","Fiellun huoltotupa Puu-Cee",7715024,3482591
"Metsähallitus","Goahppelasjavri polttopuusuoja kuivakäymälä jätepiste",7750078,3492189
"Metsähallitus","Sydänmaan aro kuivakäymälä",7209017,3612177
"Metsähallitus","Vanielinlampi wc/liiteri",7277965,3585976
"Metsähallitus","Vuotava uimakoppi",6809520,3218128
"Metsähallitus","Satkovittikko käymälä",7521352,3558087
"Metsähallitus","Otajärvi esteetön lintulava",6777394,3211155
"Metsähallitus","Otajärvi käymälä",6777439,3211121
"Metsähallitus","Älgö huoltoveneluiska",6644547,3296733
"Metsähallitus","Järvimuotka käymälä",7521783,3557726
"Metsähallitus","Grytskär käymälä ja varasto",6643011,3299055
"Metsähallitus","Yksityispuucee  ja varasto",6644005,3297534
"Metsähallitus","Hoppu kuivakäymälä",7617514,3450024
"Metsähallitus","Jussarö leirintäalue nuotiopaikka",6640341,3308112
"Metsähallitus","Someronsalmi wc",7272088,3599154
"Metsähallitus","Jättikota",6860219,3270362
"Metsähallitus","Jättikodankulma käymälä 2",6860215,3270380
"Metsähallitus","Saarivesi kuivakäymälä",7070711,3385422
"Metsähallitus","Saarivesi tulentekopaikka",7070669,3385504
"Metsähallitus","Iso Juurikka kuivakäymälä",7076395,3397408
"Metsähallitus","Iso- Juurikka laavu",7076328,3397417
"Metsähallitus","Palosaari kota",7151818,3390814
"Metsähallitus","Palosaari käymälä",7151810,3390821
"Metsähallitus","Härkluoma käymälä",6767180,3236206
"Metsähallitus","Uhrattu nuotiopaikka",6771066,3237509
"Metsähallitus","Aatsinginhauta laavu",7417298,3583368
"Metsähallitus","Valkeajärvi käymälä",6856470,3512706
"Metsähallitus","Isojärvi laavu",7122651,3398559
"Metsähallitus","Isojärvi tulentekopaikka",7122650,3398553
"Metsähallitus","Piurukkajärvi käymälä",7141302,3399055
"Metsähallitus","Piurukkajärvi kämppä 2 käymälä",7141490,3398810
"Metsähallitus","Piurukkajärvi tulentekopaikka 2",7141518,3398829
"Metsähallitus","Mäntylinna käymälä",7082315,3606830
"Metsähallitus","Kirnusaari käymälä",6724703,3223870
"Metsähallitus","Seimilaavu",6859702,3274271
"Metsähallitus","Iso Lihasaari kota Kolima",7025304,3433995
"Metsähallitus","Pulterinnokan  käymälä, Otajärvi",6775023,3209740
"Metsähallitus","Paanu ulkorakennus",6786601,3203152
"Metsähallitus","Vicksbäckinlahti käymälä - puusuoja",6685305,3274803
"Metsähallitus","Veneranta käymälä",6684685,3275028
"Metsähallitus","Pysäköintialue käymälä",6684548,3275040
"Metsähallitus","Iso-Roope tulentekopaikka",6871517,3507555
"Metsähallitus","Kariholma keittokatos",6684737,3274666
"Metsähallitus","Niinilampi tulentekopaikka",6799204,3467550
"Metsähallitus","Vianaapa lintutorni",7387430,3462093
"Metsähallitus","Kuivajärvi kotakäymälä",7046498,3403244
"Metsähallitus","Sommarö grillipaikkan laavu",7019453,3213439
"Metsähallitus","Sommarön rantahuussi",7018972,3213461
"Metsähallitus","Sommarö laiturin grillipaikka",7018800,3213560
"Metsähallitus","Koirasalmi telttailualue",7017011,3390525
"Metsähallitus","Kirkas-Soljanen telttailualue",6871598,3315152
"Metsähallitus","Petraniemi telttailualue",6948517,3714741
"Metsähallitus","Pitkäsaari, eteläinen",6912536,3590805
"Metsähallitus","Pitkäsaari, pohjoinen",6912660,3590698
"Metsähallitus","Pyylinoja telttailualue",6908881,3590709
"Metsähallitus","Lapinniemi",6908831,3594398
"Metsähallitus","Laajakaarre",6907465,3596671
"Metsähallitus","Syväniemi",6905015,3594471
"Metsähallitus","Hirviniemi",6903258,3599174
"Metsähallitus","Vaajasalo",6901769,3599267
"Metsähallitus","Lohilahti itä",6901806,3600073
"Metsähallitus","Lohilahti länsi",6901715,3599977
"Metsähallitus","Kaivolammi",6904785,3246879
"Metsähallitus","Saamenpolku Opukasköngäs Puolikota",7726022,3558949
"Metsähallitus","Saamenpolku Opukasköngäs EKO piste",7725997,3558912
"Metsähallitus","Hiekkaniemi telttailualue",7039694,3675175
"Metsähallitus","Ruunaanvaara telttailualue",7038851,3678501
"Metsähallitus","Säynäsemä telttailualue",7037781,3683255
"Metsähallitus","Kasinniemi",6831260,3636224
"Metsähallitus","Iso Kankainen",6856381,3601596
"Metsähallitus","Pääskysalmi",6846816,3604040
"Metsähallitus","Pakarhiekka",6846818,3604560
"Metsähallitus","Mitinhiekka",6844587,3604371
"Metsähallitus","Mustasaari",6839813,3612161
"Metsähallitus","Juuvinsaari",6853333,3590487
"Metsähallitus","Kontinpaistama Puolikota Uutukainen",7727010,3563246
"Metsähallitus","Kontinpaistama EKO piste",7726987,3563213
"Metsähallitus","Kuohkimajärvi ulkokäymälä-varasto",7677808,3243508
"Metsähallitus","Kuohkimajärvi ulkokäymälä-varasto",7677808,3243508
"Metsähallitus","Kunettikoski käymälä",7437117,3445650
"Metsähallitus","Syväjärvi sääsuoja",7190201,3597968
"Metsähallitus","Kuohkimajärvi ulkokäymälä-puuliiteri-sauna",7677791,3243504
"Metsähallitus","Metsänvartijan maja laituri",6950711,3715170
"Metsähallitus","Petraniemi rantasaunan kotakeittiö",6948586,3714579
"Metsähallitus","Petraniemi rantasauna laituri",6948590,3714560
"Metsähallitus","Iso-Pyhätunturi luontotorni",7411270,3579418
"Metsähallitus","Aatsinginhauta käymälä",7417306,3583348
"Metsähallitus","Venäläisaho tulentekopaikka",7190811,3579014
"Metsähallitus","Kalmosärkkä pysäköintialue",7237335,3613417
"Metsähallitus","Tilan Sirviölän laavu",7119333,3571684
"Metsähallitus","Melontareitin laituri Savilampi",7373048,3596785
"Metsähallitus","Melontareitin laituri Taivalköngäs",7370281,3598026
"Metsähallitus","Högland laituri",6675499,3239559
"Metsähallitus","Heinisuo laavu ja nuotiopaikka",6757556,3357363
"Metsähallitus","Seitsemänlamminsuo laavu",6762552,3352104
"Metsähallitus","Ympäristönäytepankin kota Paljakka",7174549,3550595
"Metsähallitus","Björkören huussi",7037347,3208847
"Metsähallitus","Haukanholman telttailualue",6691329,3362398
"Metsähallitus","Mustalammen itäpuolen telttailualue",6690899,3362665
"Metsähallitus","Mustalammen länsipuolen telttailualue",6690896,3362511
"Metsähallitus","Iso-Holman telttailualue",6691662,3361204
"Metsähallitus","Iso-Holman pieni telttailualue",6691582,3361377
"Metsähallitus","Holma-Saarijärven länsipuolen telttailualue",6690492,3361442
"Metsähallitus","Holma-Saarijärven telttailualue",6690439,3361655
"Metsähallitus","Urjan telttailualue",6689712,3367160
"Metsähallitus","Valkealampi Kehrääjänpesä",6692742,3366279
"Metsähallitus","Pöksynhaara Kehrääjänpesä",6692372,3366643
